convnetRun_3008.out	ImageNetInceptionV2	CHEMBL5077	RMSprop	0.01	10	0	0	0.6	0	0	0.99	0.97	0.99	0.99	0.99	71	1	76	1	1	0.99	0.97	0.99	0.99	0.99	71	1	76	1	1	0.99	0.97	0.99	0.99	0.99	71	1	76	1	1	0.99	0.97	0.99	0.99	0.99	73	1	74	1	1	0.99	0.97	0.99	0.99	0.99	73	1	74	1	1	0.99	0.97	0.99	0.99	0.99	73	1	74	1	1
convnetRun_3202.out	AlexNetModel	CHEMBL5077	adam	0.01	10	2048	2048	0.5	0	0	0.99	0.97	0.99	0.99	0.99	69	1	80	1	1	0.99	0.97	0.99	0.99	0.99	69	1	80	1	1	0.99	0.97	0.99	0.99	0.99	69	1	80	1	1	0.98	0.97	0.99	0.98	0.98	63	1	86	1	1	0.98	0.97	0.99	0.98	0.98	63	1	86	1	1	0.98	0.97	0.99	0.98	0.98	63	1	86	1	1
convnetRun_3209.out	AlexNetModel	CHEMBL5077	adam	0.005	10	2048	2048	0.6	0	0	0.99	0.97	0.99	0.99	0.99	70	1	79	1	1	0.99	0.97	0.99	0.99	0.99	70	1	79	1	1	0.99	0.97	0.99	0.99	0.99	70	1	79	1	1	0.99	0.97	0.99	0.99	0.99	68	1	81	1	1	0.99	0.97	0.99	0.99	0.99	68	1	81	1	1	0.99	0.97	0.99	0.99	0.99	68	1	81	1	1
convnetRun_3204.out	AlexNetModel	CHEMBL5077	adam	0.01	10	2048	2048	0.8	0	0	0.99	0.97	0.99	0.99	0.99	73	1	81	1	1	0.99	0.97	0.99	0.99	0.99	73	1	81	1	1	0.99	0.97	0.99	0.99	0.99	73	1	81	1	1	0.99	0.97	0.99	0.99	0.99	75	1	79	1	1	0.99	0.97	0.99	0.99	0.99	75	1	79	1	1	0.99	0.97	0.99	0.99	0.99	75	1	79	1	1
convnetRun_8182.out	AlexNetModel	CHEMBL5077	RMSprop	0.01	40	2048	2048	0.5	0	0	0.99	0.97	0.99	0.99	0.99	74	1	79	1	1	0.99	0.97	0.99	0.99	0.99	74	1	79	1	1	0.99	0.97	0.99	0.99	0.99	74	1	79	1	1	0.98	0.97	0.99	0.98	0.98	64	1	89	1	1	0.98	0.97	0.99	0.98	0.98	64	1	89	1	1	0.98	0.97	0.99	0.98	0.98	64	1	89	1	1
convnetRun_5708.out	AlexNetModel	CHEMBL5077	RMSprop	0.01	20	2048	2048	0.6	0	0	0.99	0.97	0.99	0.99	0.99	80	1	73	1	1	0.99	0.97	0.99	0.99	0.99	80	1	73	1	1	0.99	0.97	0.99	0.99	0.99	80	1	73	1	1	0.99	0.97	0.99	0.99	0.99	71	1	82	1	1	0.99	0.97	0.99	0.99	0.99	71	1	82	1	1	0.99	0.97	0.99	0.99	0.99	71	1	82	1	1
convnetRun_5685.out	AlexNetModel	CHEMBL5077	adam	0.005	20	2048	2048	0.8	0	0	0.99	0.97	0.99	0.99	0.99	84	1	68	1	1	0.99	0.97	0.99	0.99	0.99	84	1	68	1	1	0.99	0.97	0.99	0.99	0.99	84	1	68	1	1	0.98	0.97	0.99	0.98	0.98	63	1	89	1	1	0.98	0.97	0.99	0.98	0.98	63	1	89	1	1	0.98	0.97	0.99	0.98	0.98	63	1	89	1	1
convnetRun_8189.out	AlexNetModel	CHEMBL5077	RMSprop	0.005	40	2048	2048	0.6	0	0	0.99	0.97	0.99	0.99	0.99	68	1	85	1	1	0.99	0.97	0.99	0.99	0.99	68	1	85	1	1	0.99	0.97	0.99	0.99	0.99	68	1	85	1	1	0.98	0.97	0.99	0.98	0.98	61	1	92	1	1	0.98	0.97	0.99	0.98	0.98	61	1	92	1	1	0.98	0.97	0.99	0.98	0.98	61	1	92	1	1
convnetRun_3010.out	ImageNetInceptionV2	CHEMBL5077	RMSprop	0.0005	10	0	0	0.5	0	0	0.99	0.97	0.99	0.99	0.99	68	1	74	1	1	0.99	0.97	0.99	0.99	0.99	68	1	74	1	1	0.99	0.97	0.99	0.99	0.99	68	1	74	1	1	0.99	0.97	0.99	0.99	0.99	74	1	68	1	1	0.99	0.97	0.99	0.99	0.99	74	1	68	1	1	0.99	0.97	0.99	0.99	0.99	74	1	68	1	1
convnetRun_3339.out	CNNModel	CHEMBL5077	adam	0.01	10	128	0	0.8	0	0	0.99	0.97	0.99	0.99	0.99	73	1	80	1	1	0.99	0.97	0.99	0.99	0.99	73	1	80	1	1	0.99	0.97	0.99	0.99	0.99	73	1	80	1	1	0.99	0.97	0.99	0.99	0.99	78	1	75	1	1	0.99	0.97	0.99	0.99	0.99	78	1	75	1	1	0.99	0.97	0.99	0.99	0.99	78	1	75	1	1
convnetRun_908.out	CNNModel	CHEMBL5077	adam	0.01	5	256	0	0.6	0	0	0.98	0.97	0.99	0.98	0.98	60	1	83	1	1	0.98	0.97	0.99	0.98	0.98	60	1	83	1	1	0.98	0.97	0.99	0.98	0.98	60	1	83	1	1	0.99	0.97	0.99	0.99	0.99	68	1	75	1	1	0.99	0.97	0.99	0.99	0.99	68	1	75	1	1	0.99	0.97	0.99	0.99	0.99	68	1	75	1	1
convnetRun_534.out	ImageNetInceptionV2	CHEMBL5077	RMSprop	0.01	5	0	0	0.8	0	0	0.98	0.97	0.99	0.98	0.98	63	1	83	1	1	0.98	0.97	0.99	0.98	0.98	63	1	83	1	1	0.98	0.97	0.99	0.98	0.98	63	1	83	1	1	0.98	0.97	0.99	0.98	0.98	65	1	81	1	1	0.98	0.97	0.99	0.98	0.98	65	1	81	1	1	0.98	0.97	0.99	0.98	0.98	65	1	81	1	1
convnetRun_3991.out	ImageNetInceptionV2	CHEMBL221	RMSprop	0.0001	10	0	0	0.5	0	0	0.98	0.97	0.99	0.99	0.98	124	1	163	3	1	0.98	0.97	0.99	0.99	0.98	124	1	163	3	1	0.98	0.97	0.99	0.99	0.98	124	1	163	3	1	0.99	0.98	0.99	0.99	0.99	132	1	156	2	1	0.99	0.98	0.99	0.99	0.99	132	1	156	2	1	0.99	0.98	0.99	0.99	0.99	132	1	156	2	1
convnetRun_5799.out	CNNModel	CHEMBL5077	RMSprop	0.01	20	32	0	0.8	0	0	0.98	0.97	0.99	0.98	0.98	64	1	90	1	1	0.98	0.97	0.99	0.98	0.98	64	1	90	1	1	0.98	0.97	0.99	0.98	0.98	64	1	90	1	1	0.99	0.97	0.99	0.99	0.99	70	1	84	1	1	0.99	0.97	0.99	0.99	0.99	70	1	84	1	1	0.99	0.97	0.99	0.99	0.99	70	1	84	1	1
convnetRun_17331.out	ImageNetInceptionV2	CHEMBL3638364	adam	0.001	40	0	0	0.8	1	0	0.98	0.97	0.98	0.98	0.99	215	4	200	3	0.61	0.98	0.97	0.98	0.99	0.98	213	2	202	5	0.94	0.98	0.97	0.98	0.99	0.98	213	2	202	5	0.94	0.98	0.97	0.98	0.98	0.99	229	5	186	2	0.43	0.98	0.97	0.98	0.98	0.99	229	5	186	2	0.43	0.98	0.97	0.98	0.98	0.99	229	5	186	2	0.43
