CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	B, pranlukast	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	2690224	ED50	=	2	mg.kg-1		ED50	=	2	mg kg-1			0	BAO_0003036	UO_0000308		579423	CHEMBL1053178	F	Inhibition of LTD4-induced airway microvascular permeability in po dosed Dunkin-Hartley guinea pig after 4 hrs using Evans blue staining	1	Scientific Literature	Cavia porcellus	Dunkin-Hartley	10141	Autocuration	BAO_0000218	50512	CHEMBL369	ORGANISM		Cavia porcellus	Cavia porcellus	1	Non-molecular			47919	CHEMBL1152359	19505824	Bioorg. Med. Chem. Lett.	2009	19	15	4299					
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	19h, ONO-RS-411	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	289544	ID50	=	.001	mg.kg-1		ID50	=	1	ug kg-1			0		UO_0000308		74026	CHEMBL688099	F	Inhibition of LTD4-induced bronchoconstriction in guinea pig in guinea pig at dose of (0.5 ug/kg) given intravenously	1	Scientific Literature	Cavia porcellus		10141	Intermediate	BAO_0000218	50512	CHEMBL369	ORGANISM		Cavia porcellus	Cavia porcellus	1	Non-molecular			9529	CHEMBL1123967	3336036	J. Med. Chem.	1988	31	1	84					
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	pranlukast	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	16859051	Inhibition					INH				Dose-dependent effect		0	BAO_0000376			1636924	CHEMBL3879939	B	Antagonist activity at recombinant human GPR17 short isoform transfected in CHO cells assessed as inhibition of RA-II-150-mediated intracellular Ca2+ mobilization preincubated for 5 to 30 mins followed by RA-II-150 addition measured after 20 mins by oregon green 488 BAPTA-1/AM dye-based fluorescence assay	38	Patent Bioactivity Data	Homo sapiens		9606	Autocuration	BAO_0000219	103101	CHEMBL1075162	SINGLE PROTEIN	Q13304	Uracil nucleotide/cysteinyl leukotriene receptor	Homo sapiens	9	Protein			102228	CHEMBL3879883			2013				449	CHEMBL3308072	CHO		
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	PRANLUKAST	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	13994579	Hepatotoxicity (malignant tumour)	=	0	-		Hepatotoxicity (malignant tumour)	=	0		references out of a total of 1		0				1301387	CHEMBL3137734	T	Malignant tumor, proven histopathologically. Value is number of references indexed. [column 'T.MAL' in source]	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	22226	CHEMBL612545	UNCHECKED		Unchecked		0	Unassigned			77450	CHEMBL3137667	15646539	Gastroenterol Clin Biol	2004	28	8-9	720					
CHEMBL3810125	2088111	CHEMBL21333	26451		Onon	481.51	4.63	123	0	O.O=C(Nc1cccc2C(=O)C=C(Oc12)c3nnn[nH]3)c4ccc(OCCCCc5ccccc5)cc4	16606822	IC50	=	43000	nM	4.37	IC50	=	43	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1579541	CHEMBL3810887	B	Antagonist activity against CysLT2 receptor (unknown origin) expressed in HEK293 cells assessed as inhibition of LTD4-induced calcium mobilization pre-incubated for 10 mins before LTD4 addition by Fluo-4 AM dye based fluorimetric assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10015	CHEMBL4330	SINGLE PROTEIN	Q9NS75	Cysteinyl leukotriene receptor 2	Homo sapiens	9	Protein	7tm_1	high	99336	CHEMBL3808374	26985325	ACS Med. Chem. Lett.	2016	7	3	335	722	CHEMBL3307715	HEK293		
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	B, pranlukast	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	2690219	ED50	=	.26	mg.kg-1		ED50	=	.26	mg kg-1			0	BAO_0003036	UO_0000308		579422	CHEMBL1053177	F	Inhibition of LTD4-induced airway microvascular permeability in po dosed Dunkin-Hartley guinea pig after 1 hr using Evans blue staining	1	Scientific Literature	Cavia porcellus	Dunkin-Hartley	10141	Autocuration	BAO_0000218	50512	CHEMBL369	ORGANISM		Cavia porcellus	Cavia porcellus	1	Non-molecular			47919	CHEMBL1152359	19505824	Bioorg. Med. Chem. Lett.	2009	19	15	4299					
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	B, pranlukast	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	2690231	ED50	=	1	mg.kg-1		ED50	=	1	mg kg-1			0	BAO_0003036	UO_0000308		579424	CHEMBL1053179	F	Inhibition of LTD4-induced airway microvascular permeability in po dosed Dunkin-Hartley guinea pig after 8 hrs using Evans blue staining	1	Scientific Literature	Cavia porcellus	Dunkin-Hartley	10141	Autocuration	BAO_0000218	50512	CHEMBL369	ORGANISM		Cavia porcellus	Cavia porcellus	1	Non-molecular			47919	CHEMBL1152359	19505824	Bioorg. Med. Chem. Lett.	2009	19	15	4299					
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	19h, ONO-RS-411	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	289539	IC50	=	.044	nM	10.36	IC50	=	.044	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	75477	CHEMBL687342	F	Inhibition of LTC4 induced smooth muscle contraction of guinea pig ileum	1	Scientific Literature	Cavia porcellus		10141	Autocuration	BAO_0000221	104726	CHEMBL2094254	PROTEIN FAMILY	Q9NS75, Q9Y271	Cysteinyl leukotriene receptor	Homo sapiens	4	Multiple homologous proteins			9529	CHEMBL1123967	3336036	J. Med. Chem.	1988	31	1	84					
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	pranlukast	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	15657844	IC50	=	3620	nM	5.44	IC50	=	3620	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1506469	CHEMBL3599868	B	Antagonist activity at human CysLT2 expressed in HEK293T cells assessed as inhibition of LTC4-induced effect preincubated for 30 mins prior to LTC4 addition by Aequorin luminescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	10015	CHEMBL4330	SINGLE PROTEIN	Q9NS75	Cysteinyl leukotriene receptor 2	Homo sapiens	9	Protein	7tm_1	high	92889	CHEMBL3596134	26200813	J. Med. Chem.	2015	58	15	6093	5545	CHEMBL3706569	HEK-293T		
CHEMBL21333	26451	CHEMBL21333	26451	PRANLUKAST	pranlukast	481.51	4.63	123	0	O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4	3307695	IC50	=	68000	nM	4.17	IC50	=	68	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	635150	CHEMBL1119972	B	Inhibition of Trypanosoma cruzi cruzaine preincubated for 5 mins before substrate addition by fluorescence assay in presence of 0.01% Triton X-100	1	Scientific Literature	Trypanosoma cruzi		5693	Autocuration	BAO_0000357	10452	CHEMBL3563	SINGLE PROTEIN	P25779	Cruzipain	Trypanosoma cruzi	9	Protein	Peptidase_C1	high	51298	CHEMBL1155470	20426472	J. Med. Chem.	2010	53	10	4259					
