CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	Thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	3418806	FC	=	.992	-		FC	=	.992				0				653361	CHEMBL1226564	F	Antiproliferative activity against human PC3 cells at 250 nM after 120 hrs by MTT assay relative to DMSO	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	80390	CHEMBL390	CELL-LINE		PC-3	Homo sapiens	1	Non-molecular			52308	CHEMBL1221184	16680159	Nat. Chem. Biol.	2006	2	6	329	555	CHEMBL3307570	PC-3		
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	Thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	10947447	MBC	=	256	ug ml-1		MBC	=	256	ug ml-1			0		UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	827367	CHEMBL2051037	F	Antimycobacterial activity against Mycobacterium tuberculosis H37Ra ATCC 25177 by microbroth dilution method	1	Scientific Literature	Mycobacterium tuberculosis H37Ra	ATCC 25177	419947	Autocuration	BAO_0000218	106765	CHEMBL2366634	ORGANISM		Mycobacterium tuberculosis H37Ra	Mycobacterium tuberculosis H37Ra	1	Non-molecular			62474	CHEMBL2046301	22633120	Bioorg. Med. Chem.	2012	20	13	4149					
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	1	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	677871	T/C	=	.9	-		T/C	=	.9				0				117257	CHEMBL723563	F	Compound (0.4 mmol/Kg) was evaluated for its ability to inhibit B16BL6 pulmonary metastasis in mice. The number of lung metastases of treated (T) and nontreated or control (C) is expressed as ratio, T/C.	1	Scientific Literature	Mus musculus		10090	Intermediate	BAO_0000218	50594	CHEMBL375	ORGANISM		Mus musculus	Mus musculus	1	Non-molecular			15051	CHEMBL1132333	10447943	J. Med. Chem.	1999	42	16	3014					
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	16469726	IC50	=	18600	nM	4.73	IC50	=	18.6	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1555517	CHEMBL3768099	B	Inhibition of MANT-uracil binding to Caenorhabditis elegans CRBN (delta 1 to 15) by FRET assay	1	Scientific Literature	Caenorhabditis elegans		6239	Autocuration	BAO_0000019	22226	CHEMBL612545	UNCHECKED		Unchecked		0	Unassigned			98322	CHEMBL3763149	26730808	J. Med. Chem.	2016	59	2	770					
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	Thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	3233231	IC50	>	50000	nM		IC50	>	50	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	622763	CHEMBL1107702	F	Cytotoxicity against human DLD1 cells by MTT assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	80120	CHEMBL614285	CELL-LINE		DLD-1	Homo sapiens	1	Non-molecular			49997	CHEMBL1153763	19394719	Eur. J. Med. Chem.	2009	44	9	3533	565	CHEMBL3307580	DLD-1		
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	1, thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	3106413	Activity	=	7	%		Activity	=	7	%			0	BAO_0001103	UO_0000187	http://qudt.org/vocab/unit#Percent	610471	CHEMBL1064325	F	Induction of apoptosis in human Jurkat T cells at 10 uM after 24 hrs by flow cytometry	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	81072	CHEMBL397	CELL-LINE		Jurkat	Homo sapiens	1	Non-molecular			49883	CHEMBL1159046	20034801	Bioorg. Med. Chem.	2010	18	2	650	503	CHEMBL3307526	Jurkat		
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	1, Thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	2474395	Activity	=	66	%		Activity	=	66	%			0	BAO_0001103	UO_0000187	http://qudt.org/vocab/unit#Percent	536005	CHEMBL988021	F	Induction of apoptosis in mouse Ehrlich ascites carcinoma cells implanted in Swiss albino mouse assessed as increase in Fas-L expression treated after 7 days post-tumor implantation at 1.25 mM/kg, sc for 5 days by immunohistochemical analysis	1	Scientific Literature	Mus musculus		10090	Autocuration	BAO_0000218	80830	CHEMBL614641	CELL-LINE		Ehrlich	Mus musculus	1	Non-molecular			44747	CHEMBL1151683	18951804	Bioorg. Med. Chem.	2008	16	22	9708	666	CHEMBL3307669	Ehrlich		
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	1, Thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	2474401	Activity	=	66	%		Activity	=	66	%			0	BAO_0001103	UO_0000187	http://qudt.org/vocab/unit#Percent	536020	CHEMBL990701	F	Antiangiogenic activity against mouse Ehrlich ascites carcinoma cells implanted in Swiss albino mouse assessed as inhibition of VEGF expression treated after 7 days post-tumor implantation at 1.25 mM/kg, sc for 5 days by immunohistochemical analysis	1	Scientific Literature	Mus musculus		10090	Autocuration	BAO_0000218	80830	CHEMBL614641	CELL-LINE		Ehrlich	Mus musculus	1	Non-molecular			44747	CHEMBL1151683	18951804	Bioorg. Med. Chem.	2008	16	22	9708	666	CHEMBL3307669	Ehrlich		
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	thalidomide	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	2373841	Activity	=	55.5	%		Activity	=	55.5	%			0	BAO_0001103	UO_0000187	http://qudt.org/vocab/unit#Percent	535236	CHEMBL981695	F	Antiinflammatory activity in mouse RAW264.7 cells assessed as inhibition of LPS-induced TNFalpha synthesis at 10 uM pretreated for 3 hrs before LPS challenge assessed after 24 hrs by ELISA relative to control	1	Scientific Literature	Mus musculus		10090	Autocuration	BAO_0000219	80418	CHEMBL612557	CELL-LINE		RAW264.7	Mus musculus	1	Non-molecular			44554	CHEMBL1144167	18723357	Bioorg. Med. Chem.	2008	16	18	8619	343	CHEMBL3307977	RAW264.7		
CHEMBL468	5028	CHEMBL468	5028	THALIDOMIDE	1	258.23	.09	83.55	0	O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	1987703	Inhibition	=	38	%		Inhibition	=	38	%			0	BAO_0000201	UO_0000187	http://qudt.org/vocab/unit#Percent	449733	CHEMBL898839	F	Inhibition of TNF gene expression in FRT Jurkat TNF reporter cells at 100 uM	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	81072	CHEMBL397	CELL-LINE		Jurkat	Homo sapiens	1	Non-molecular			37036	CHEMBL1137495	17851074	Bioorg. Med. Chem. Lett.	2007	17	21	5819	503	CHEMBL3307526	Jurkat		
