CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	regorafenib	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	15241380	Activity	=	116	%		Activity	=	116	%			0	BAO_0001103	UO_0000187	http://qudt.org/vocab/unit#Percent	1474519	CHEMBL3423808	B	Potentiation of human GlyR-alpha1 expressed in Xenopus laevis oocytes assessed as induction of glycine-activated currents at 1 uM after 1 to 4 days by two-electrode voltage clamp assay relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	102688	CHEMBL5845	SINGLE PROTEIN	P23415	Glycine receptor subunit alpha-1	Homo sapiens	9	Protein			91666	CHEMBL3421540	25790278	J. Med. Chem.	2015	58	7	2958					
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	SID137275982	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	11582560	Potency		5257.6	nM		Potency		5.2576	uM	active		0	BAO_0000186	UO_0000065	http://www.openphacts.org/units/Nanomolar	845168	CHEMBL2114779	F	PubChem BioAssay. Cytotoxicity counterscreen for NFkB agonists and antagonists. (Class of assay: confirmatory) 	7	PubChem BioAssays				Autocuration	BAO_0000019	22221	CHEMBL3879801	NON-MOLECULAR		Placeholder for assays where the target is a tissue/organism etc		1	Non-molecular			51887	CHEMBL1201862											
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	2, BAY-734506	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	8023571	IC50	=	19	nM	7.72	IC50	=	19	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	801443	CHEMBL1948265	B	Inhibition of B-Raf V600E mutant	1	Scientific Literature	Homo sapiens			Autocuration	BAO_0000019	22226	CHEMBL612545	UNCHECKED		Unchecked		0	Unassigned			60965	CHEMBL1944549	22222036	Bioorg. Med. Chem. Lett.	2012	22	2	789					
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	SID137275982	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	15550152	Potency		14818	nM		Potency		14.818	uM	active		0	BAO_0000186	UO_0000065	http://www.openphacts.org/units/Nanomolar	1495287	CHEMBL3562018	F	PubChem BioAssay. Immunotoxin (SS1P) sensitization/mitigation study - treatment arm.   (Class of assay: confirmatory) 	7	PubChem BioAssays				Autocuration	BAO_0000019	22226	CHEMBL612545	UNCHECKED		Unchecked		0	Unassigned			51887	CHEMBL1201862											
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	regorafenib	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	15241408	%max	=	200	%		%max	=	200	%			0		UO_0000187	http://qudt.org/vocab/unit#Percent	1474521	CHEMBL3423810	B	Potentiation of human GlyR-alpha1 expressed in Xenopus laevis oocytes assessed as induction of glycine-activated currents at 10 uM after 1 to 4 days by two-electrode voltage clamp assay relative to control	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	102688	CHEMBL5845	SINGLE PROTEIN	P23415	Glycine receptor subunit alpha-1	Homo sapiens	9	Protein			91666	CHEMBL3421540	25790278	J. Med. Chem.	2015	58	7	2958					
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	2, BAY-734506	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	8023569	IC50	=	28	nM	7.55	IC50	=	28	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	801442	CHEMBL1948264	B	Inhibition of wild-type B-Raf	1	Scientific Literature				Autocuration	BAO_0000357	100126	CHEMBL5145	SINGLE PROTEIN	P15056	Serine/threonine-protein kinase B-raf	Homo sapiens	8	Homologous protein			60965	CHEMBL1944549	22222036	Bioorg. Med. Chem. Lett.	2012	22	2	789					
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	SID137275982	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	11463948	Potency		5950.8	nM		Potency		5.9508	uM	active		0	BAO_0000186	UO_0000065	http://www.openphacts.org/units/Nanomolar	845159	CHEMBL2114770	F	PubChem BioAssay. qHTS Assay for Identification of Small Molecule Antagonists for NFkB Signaling Pathway. (Class of assay: confirmatory) 	7	PubChem BioAssays				Autocuration	BAO_0000019	22226	CHEMBL612545	UNCHECKED		Unchecked		0	Unassigned			51887	CHEMBL1201862											
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	BAY 73-4506, Stivarga	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	13349218	IC50					IC50				Not Determined		0	BAO_0000190			967719	CHEMBL2399720	B	Inhibition of full length recombinant c-RAF (unknown origin) using MEK1 as substrate after 1 hr by luminescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10904	CHEMBL1906	SINGLE PROTEIN	P04049	Serine/threonine-protein kinase RAF	Homo sapiens	9	Protein			74096	CHEMBL2396585	23726028	Bioorg. Med. Chem. Lett.	2013	23	13	3732					
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	BAY 73-4506, Stivarga	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	13349258	IC50	=	.5	nM	9.3	IC50	=	.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	967730	CHEMBL2399731	B	Inhibition of human recombinant soluble epoxide hydrolase assessed as cyano(6-methoxy-naphthalen-2-yl)methyl trans-[(3-phenyloxyran-2-yl)methyl] carbonate conversion to 6-methoxy-2-naphthaldehyde preincubated for 5 mins prior to substrate addition by fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	11727	CHEMBL2409	SINGLE PROTEIN	P34913	Epoxide hydratase	Homo sapiens	9	Protein	Abhydrolase_1	high	74096	CHEMBL2396585	23726028	Bioorg. Med. Chem. Lett.	2013	23	13	3732					
CHEMBL1946170	1277553	CHEMBL1946170	1277553	REGORAFENIB	Regorafenib	482.82	5.69	92.35	1	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)c(F)c2)ccn1	16593455	EC50					EC50				Not Determined		0	BAO_0000188			1580310	CHEMBL3812150	F	Antiangiogenic activity in HRMEC after 72 hrs by MTT assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	22221	CHEMBL3879801	NON-MOLECULAR		Placeholder for assays where the target is a tissue/organism etc		1	Non-molecular			99340	CHEMBL3808348	27010810	J. Med. Chem.	2016	59	8	3886					
