CHEMBL3473	0.989100817438692	0.9895287958115184	0.9784009609338548	174	4	0	189	0.9427792915531336	0.9424657534246575	0.887924179461121	174	4	17	172	0.9809264305177112	0.9817232375979112	0.9621457921218308	172	6	1	188
CHEMBL4979	0.926605504587156	0.9344262295081968	0.851733716757463	44	3	5	57	0.8715596330275229	0.8923076923076922	0.7388685963560531	37	10	4	58	0.9174311926605505	0.9291338582677167	0.8316955346514684	41	6	3	59
CHEMBL298	0.9566929133858267	0.9561752988047808	0.9138485072492197	246	15	7	240	0.9507874015748031	0.9512670565302144	0.9042295552592079	239	22	3	244	0.952755905511811	0.9527559055118111	0.9069601501543425	242	19	5	242
CHEMBL3649	0.9060773480662984	0.9251101321585904	0.7992465206191101	59	9	8	105	0.8950276243093923	0.91324200913242	0.7832782780965288	62	6	13	100	0.9171270718232044	0.9333333333333333	0.8239068095127351	61	7	8	105
CHEMBL1790	0.978021978021978	0.9743589743589743	0.9561124114852952	102	4	0	76	0.9285714285714286	0.9115646258503401	0.8531605542891484	102	4	9	67	0.9725274725274725	0.9681528662420382	0.945522876701411	101	5	0	76
CHEMBL3048	0.8601398601398601	0.8591549295774648	0.7202660406885759	62	10	10	61	0.7272727272727273	0.6608695652173914	0.489522459006402	66	6	33	38	0.9090909090909091	0.9115646258503401	0.8202681377302586	63	9	4	67
CHEMBL3426	0.8571428571428571	0.851063829787234	0.7145252027247703	44	6	8	40	0.7755102040816326	0.7999999999999999	0.5772364433999367	32	18	4	44	0.8979591836734694	0.8958333333333334	0.7958333333333333	45	5	5	43
CHEMBL4588	0.8981481481481481	0.9142857142857141	0.789266527722109	115	19	14	176	0.8024691358024691	0.8476190476190476	0.5955271044784667	82	52	12	178	0.8888888888888888	0.9081632653061223	0.7701803845399126	110	24	12	178
CHEMBL202	0.7890625	0.8137931034482758	0.5785994585144808	42	9	18	59	0.6015625	0.751219512195122	0.0	0	51	0	77	0.8203125	0.8516129032258064	0.6239975800924353	39	12	11	66
CHEMBL3411	0.6829268292682927	0.6829268292682927	0.435	14	11	2	14	0.3902439024390244	0.5614035087719299	0.0	0	25	0	16	0.7317073170731707	0.717948717948718	0.5062173827984802	16	9	2	14
CHEMBL3234	0.9312977099236641	0.9189189189189189	0.8621552543644198	71	2	7	51	0.9007633587786259	0.8828828828828829	0.7995312796919833	69	4	9	49	0.9389312977099237	0.9333333333333333	0.8787711391103475	67	6	2	56
CHEMBL4564	0.9523809523809523	0.9545454545454545	0.9088932591463857	19	2	0	21	0.9761904761904762	0.975609756097561	0.9534625892455924	21	0	1	20	0.9761904761904762	0.9767441860465117	0.9534625892455924	20	1	0	21
CHEMBL5543	0.8918918918918919	0.8857142857142857	0.7950163820691273	35	1	7	31	0.6756756756756757	0.6363636363636364	0.3691433930708384	29	7	17	21	0.8513513513513513	0.8493150684931505	0.7054523093879951	32	4	7	31
CHEMBL2127	0.9846153846153847	0.988235294117647	0.9665800781739454	22	0	1	42	0.9846153846153847	0.988235294117647	0.9665800781739454	22	0	1	42	0.9846153846153847	0.988235294117647	0.9665800781739454	22	0	1	42
